"// Brightspace CSV Import - Chapter 12 Top Questions",,,,
"// Source: Chapter 12 RAT - Business Intelligence, Data Visualization, and Reporting",,,,
"// Date: 2026-07-19",,,,
"// 10 questions: 2 Multi-Select (MS) + 8 Multiple Choice (MC)",,,,
"// Bloom distribution: 1 Understand, 2 Apply, 2 Analyze, 5 Evaluate",,,,
"// Save as CSV UTF-8 before importing",,,,
,,,,
NewQuestion,MS,,,
ID,BITM330-CH12-Q01,,,
Title,CH12 Q1: Grain - Record Count vs. Distinct Count,,,
QuestionText,Select ALL that apply: A dataset contains one row per student per assignment. Which calculations would correctly produce the number of students and the count of those scoring below a defined threshold?,,,
Points,2,,,
Difficulty,4,,,
Scoring,RightAnswers,,,
Option,0,Counting every row in the dataset to determine the number of students,,"Incorrect - row count gives recorded results, not students."
Option,1,Counting only the distinct student identifiers to determine the number of students,,Correct - distinct counting is required when grain is finer than the entity being counted.
Option,0,Averaging all score values to identify which students are below threshold,,Incorrect - averaging across all rows does not identify individual students below threshold.
Option,1,"Filtering to students whose average score falls below the threshold, then counting the distinct results",,Correct - this properly applies a condition at the student level before counting.
Option,1,Dividing the total row count by the number of assignments to estimate the student count,,"Correct - a reasonable estimation approach when the grain is known, though less precise than distinct counting."
Hint,,,,The key concept is grain - one student appears in many rows. How do you isolate unique students?
Feedback,,,,"When data is stored at a finer grain than the entity you want to count, you must use distinct counting rather than row counting. Filtering to students meeting a condition and counting distinct identifiers is correct."
,,,,
NewQuestion,MS,,,
ID,BITM330-CH12-Q02,,,
Title,CH12 Q2: Responsible AI in Reporting,,,
QuestionText,"Select ALL that apply: When using AI to assist with reporting, which practices reflect responsible use?",,,
Points,2,,,
Difficulty,5,,,
Scoring,RightAnswers,,,
Option,1,"Supplying the AI with approved, validated source documents rather than unverified data",,Correct - responsible AI use begins with verified inputs.
Option,1,Cross-checking every factual and numerical claim the AI produces against original sources,,Correct - AI output is not evidence by itself; every claim must be verified.
Option,1,Using the AI to draft an initial summary that a human then reviews and edits,,Correct - AI can accelerate drafting while humans retain editorial control.
Option,0,Accepting AI-generated explanations as authoritative without verification,,Incorrect - this abdicates human responsibility for accuracy.
Option,1,Treating the database and validated reporting query - not the AI output - as the source of truth,,Correct - the database and reporting query remain the authoritative sources.
Hint,,,,"The AI is a reporting assistant, not a replacement for verification. Which practices keep humans accountable?"
Feedback,,,,"Responsible AI use means verified inputs, cross-checked outputs, human review of drafts, and treating the database as the authoritative source of truth."
,,,,
NewQuestion,MC,,,
ID,BITM330-CH12-Q03,,,
Title,CH12 Q3: Grain - Why Rows Exceed Entities,,,
QuestionText,"An analyst runs a query joining student records to grade records. The query returns 400 rows, but there are only 50 students. What is the most likely explanation?",,,
Points,1,,,
Difficulty,3,,,
Option,0,The database is corrupted,,Incorrect - The database is corrupted
Option,100,"The query operates at a finer grain - one row per student per graded assignment, so each student appears in multiple rows",,"Correct - The query operates at a finer grain - one row per student per graded assignment,"
Option,0,The reporting tool miscounts rows by default,,Incorrect - The reporting tool miscounts rows by default
Option,0,Students are double-counted because of a software bug,,Incorrect - Students are double-counted because of a software bug
Hint,,,,"Consider what one row in the result represents. Is it one student, or one student-assignment combination?"
Feedback,,,,"Grain determines what one row represents. When grain is per student per assignment, row counts and entity counts are different things. Distinct counting is needed to count unique students."
,,,,
NewQuestion,MC,,,
ID,BITM330-CH12-Q04,,,
Title,CH12 Q4: Chart Choice - Trend Over Time,,,
QuestionText,A manager wants to see how a key metric has trended month by month over the past two years. Which visual approach best serves this need?,,,
Points,1,,,
Difficulty,3,,,
Option,0,A pie chart showing each month's share of the total,,Incorrect - A pie chart showing each month's share of the total
Option,100,A line chart with time on the horizontal axis and the metric on the vertical axis,,Correct - A line chart with time on the horizontal axis and the metric on the vertical axi
Option,0,A table listing every individual data point,,Incorrect - A table listing every individual data point
Option,0,"A set of KPI cards, one for each month",,"Incorrect - A set of KPI cards, one for each month"
Hint,,,,What type of chart best reveals direction and rate of change across a time period?
