NewQuestion,MS,,,
Title,In the chapter's Let's Build Access...,,,
QuestionText,"Select ALL that apply: In the chapter's Let's Build Access activity, the `GRADEBOOK` table includes student attributes (FirstName, LastName, Email) alongside grade data. What problems would this structure create as the database grows?",,,
Points,1,,,
Scoring,RightAnswers,,,
Option,1,Updating a student's email requires editing every grade row for that student,,
Option,1,Deleting the only grade for a student removes the only record that the student exists,,
Option,0,The table cannot store more than 255 characters per row,,
Option,1,The table mixes two subjects — students and grades — that should be separated,,
Option,1,A student's name and email are repeated in every row where they appear,,
Feedback,"Mixing students and grades in one table creates update anomalies (A — email changes require many edits), redundancy (B — attributes repeated per row), mixed subjects (C — violates relational table rules), and deletion anomalies (E — losing the last grade loses the student).",,,
,,,,
NewQuestion,MS,,,
Title,Chapter 4's PetVax connections show how...,,,
QuestionText,Select ALL that apply: Chapter 4's PetVax connections show how Lab 03 problems map to database concepts. Which mappings are correct?,,,
Points,1,,,
Scoring,RightAnswers,,,
Option,1,Fixed FILTER() range missed new rows → query fragility → use table/field names in SQL,,
Option,1,Sarah Perry's email changed in only one row → update anomaly → use separate tables with foreign keys,,
Option,1,Coco the pet had two owners → need for related tables → use a link table connecting pets to owners,,
Option,1,"Angel's appointment deleted, erasing evidence Angel existed → deletion anomaly → store pet facts separately from appointments",,
Option,0,Two pets named Coco → need for better color coding in the spreadsheet,,
Feedback,"All four mappings are correct: Sarah Perry's email inconsistency → update anomaly (A), Coco's two owners → need for link table (B), fixed FILTER() range → query fragility → SQL table names (C), Angel's deletion → deletion anomaly → separate tables (D). Color coding (E) is not a database concept solution.",,,
,,,,
NewQuestion,MC,,,
Title,"In the PetVax scenario, Rex could...",,,
QuestionText,"In the PetVax scenario, Rex could not be recorded in the system until he had an appointment. Which Chapter 4 concept explains why this is a problem?",,,
Points,1,,,
Option,0,Data independence,,
Option,0,Physical view separation,,
Option,0,Program-data dependence,,
Option,100,Insertion anomaly — one fact (pet exists) cannot be added without another fact (appointment),,
Feedback,An insertion anomaly occurs when you cannot add one fact (a pet exists) without also adding an unrelated fact (an appointment). This is exactly the insertion anomaly scenario described in the chapter.,,,
,,,,
NewQuestion,MC,,,
Title,A database has a `PET` table...,,,
QuestionText,A database has a `PET` table with `PetID` as primary key and an `APPOINTMENT` table with `PetID` referencing `PET(PetID)`. What happens if someone tries to insert an appointment with `PetID = 99` when no pet with `PetID = 99` exists in the `PET` table?,,,
Points,1,,,
Option,100,The DBMS rejects the insertion because the foreign key constraint is violated,,
Option,0,The DBMS automatically creates a new pet with PetID = 99,,
Option,0,The appointment is created and PetID is changed to match the nearest existing pet,,
Option,0,The appointment is created with a warning,,
Feedback,The foreign key constraint `REFERENCES PET(PetID)` prevents orphaned records. The DBMS rejects the insertion because the referenced `PetID` must exist in the `PET` table.,,,
,,,,
NewQuestion,MC,,,
Title,A company keeps customer data in...,,,
QuestionText,"A company keeps customer data in departmental spreadsheets. Marketing has one version, Sales has another, and Customer Service has a third. According to Chapter 4, which specific database benefit would most directly address this problem?",,,
Points,1,,,
Option,0,Historical analysis — studying records over time,,
