"// Brightspace CSV Import - Chapter 13 Top Questions",,,,
"// Source: Chapter 13 RAT - From Knowledge to Wisdom: Strategy, Judgment, and Data-Driven Decision-Making",,,,
"// Date: 2026-07-19",,,,
"// 10 questions: 2 Multi-Select (MS) + 8 Multiple Choice (MC)",,,,
"// Bloom distribution: 2 Apply, 3 Analyze, 5 Evaluate",,,,
"// Save as CSV UTF-8 before importing",,,,
,,,,
NewQuestion,MS,,,
ID,BITM330-CH13-Q01,,,
Title,CH13 Q1: Survivorship Bias and Selection Bias,,,
QuestionText,Select ALL that apply: An analyst studies only completed appointments to understand why appointments are missed. Which biases or fallacies does this approach risk?,,,
Points,2,,,
Difficulty,4,,,
Scoring,RightAnswers,,,
Option,1,Survivorship bias - analysis focuses on visible cases while ignoring missed appointments,,Correct - survivorship bias means focusing on cases that remain visible after a selection process while ignoring cases that disappeared or failed.
Option,0,Simpson's paradox - the aggregate data reverses within groups,,"Incorrect - Simpson's paradox involves aggregate-subgroup reversal, not sample-selection issues."
Option,1,Selection bias - observed cases differ from the population of interest,,Correct - the population of interest is all appointments; the analyst observes only completed ones.
Option,0,Goodhart's Law - the metric becomes the target,,"Incorrect - Goodhart's Law involves metric-target distortion, not sample selection."
Option,1,Missing-data bias - missingness may be related to the outcome,,Correct - missed appointments may be systematically different from completed ones.
Hint,,,,Think about which cases the analyst can see and which cases are systematically absent from the dataset.
Feedback,,,,"Survivorship bias, selection bias, and missing-data bias all apply when studying only completed cases. Simpson's paradox and Goodhart's Law describe different failure modes not present here."
,,,,
NewQuestion,MS,,,
ID,BITM330-CH13-Q02,,,
Title,CH13 Q2: AI Ethics - Credit Denial,,,
QuestionText,"Select ALL that apply: A company's AI system recommends denying credit to applicants from certain ZIP codes. Using ethical-responsibility principles, which concerns should be raised?",,,
Points,2,,,
Difficulty,5,,,
Scoring,RightAnswers,,,
Option,1,Proxy bias - ZIP code may indirectly represent race or income,,"Correct - ZIP code acts as a proxy for race or income, which is a form of proxy bias."
Option,1,Fairness - the decision may create unjustified differences,,Correct - fairness concerns whether decisions create unjustified differences between groups.
Option,1,Contestability - affected people may have no meaningful way to challenge the decision,,"Correct - contestability means affected people can question, correct, or appeal a decision."
Option,1,Transparency - stakeholders may not understand the data source or logic,,"Correct - transparency means stakeholders can understand the data source, logic, and limitation."
Option,0,The AI system is too slow,,Incorrect - system speed is not an ethical concern raised in the chapter.
Hint,,,,"Review the ethical principles: privacy, consent, fairness, transparency, accountability, and security. Which apply here?"
Feedback,,,,"Proxy bias, fairness, contestability, and transparency are all directly relevant when an automated system makes consequential decisions using geographic proxies."
,,,,
NewQuestion,MC,,,
ID,BITM330-CH13-Q03,,,
Title,CH13 Q3: Goodhart's Law,,,
QuestionText,"A call center rewards employees for reducing average call time. Call time drops, but repeat-call rates rise and satisfaction falls. Which concept does this scenario best illustrate?",,,
Points,1,,,
Difficulty,3,,,
Option,0,Simpson's paradox,,Incorrect - Simpson's paradox
Option,0,Survivorship bias,,Correct - Survivorship bias
Option,100,Goodhart's Law,,Incorrect - Goodhart's Law
Option,0,The McNamara fallacy,,Incorrect - The McNamara fallacy
Hint,,,,The key is what happens when a measure becomes a target - the chapter has a named law for this.
