NewQuestion,MS,,,
Title,A company stores customer orders in...,,,
QuestionText,"Select ALL that apply: A company stores customer orders in a single flat CSV file with these columns: `OrderID, CustomerName, CustomerEmail, ProductName, ProductPrice, OrderDate`. Which problems would this structure create?",,,
Points,1,,,
Scoring,RightAnswers,,,
Option,1,Product prices repeated in every order row can become inconsistent if a price changes,,
Option,1,Updating a customer's email requires editing every order row for that customer,,
Option,0,The CSV format cannot store dates,,
Option,1,Deleting the only order for a customer also removes the only record that the customer exists,,
Option,1,A new customer cannot be recorded until they place an order,,
Feedback,"Flat files mixing customer and order themes create update anomalies (A), insertion anomalies (B), deletion anomalies (C), and redundancy (E). CSV can store dates (D is false).",,,
,,,,
NewQuestion,MS,,,
Title,A flat grading file has these...,,,
QuestionText,"Select ALL that apply: A flat grading file has these columns: `StudentID, StudentName, DeliverableType, Score, DueDate, InstructorComment`. Which anomalies could occur in this structure?",,,
Points,1,,,
Scoring,RightAnswers,,,
Option,1,Deletion anomaly: removing the only grade for a student also removes the only record that the student exists,,
Option,1,Update anomaly: changing a student's name requires editing every row where that student appears,,
Option,0,Calculation anomaly: the file automatically averages scores incorrectly,,
Option,1,Insertion anomaly: a new student cannot be added to the file until they receive a grade,,
Option,0,Storage anomaly: the file doubles in size every time it is opened,,
Feedback,Chapter 3 describes four named anomalies. Update anomaly: changing a student's name requires editing every row (A). Insertion anomaly: cannot add a new student until they have a grade (B). Deletion anomaly: deleting the only grade removes the student record (D). Calculation and storage anomalies are not among the four named anomaly types.,,,
,,,,
NewQuestion,MC,,,
Title,A clinic stores appointment dates as...,,,
QuestionText,"A clinic stores appointment dates as plain text in a spreadsheet. When the manager tries to count how many appointments occurred in March, the formula returns zero results. What is the most likely cause?",,,
Points,1,,,
Option,0,The spreadsheet ran out of storage space,,
Option,0,The manager used the wrong spreadsheet software,,
Option,0,Appointments were never entered in the first place,,
Option,100,"Dates stored as text cannot be compared with date logic, so March dates are present but invisible to the formula",,
Feedback,"Storing dates as text prevents date math. If `DueDate` is stored in inconsistent formats, turnaround analysis becomes harder. Text-stored dates cannot be compared with date-range logic.",,,
,,,,
NewQuestion,MC,,,
Title,In the Let's Build Google Sheets...,,,
QuestionText,"In the Let's Build Google Sheets exercise, the `GRADEBOOK` tab uses `VLOOKUP` to pull category weights from the `GRADE_WEIGHT` tab. What limitation of this approach does Chapter 3 highlight?",,,
Points,1,,,
Option,100,"VLOOKUP has no enforcement — if a deliverable ID is mistyped in GRADEBOOK, the formula silently returns an error or wrong value",,
Option,0,"VLOOKUP can only search to the right, never to the left",,
Option,0,VLOOKUP requires internet access to function,,
Option,0,VLOOKUP works only with numeric data,,
Feedback,"VLOOKUP is fragile, depends on exact matches, and has no enforcement, which is why databases replace it with real relationships. A mistyped deliverable ID produces a silent error or wrong value — no referential integrity check exists.",,,
,,,,
NewQuestion,MC,,,
Title,"A retail analyst notices that ""monthly...",,,
QuestionText,"A retail analyst notices that ""monthly sales"" reports from two regions never match. The analyst discovers that Region A defines `OrderDate` as the date the order was placed, while Region B defines it as the date the order shipped. Which Chapter 3 concept would have prevented this?",,,
Points,1,,,
Option,100,A shared data dictionary with a single definition of `OrderDate`,,
Option,0,A more powerful dashboard tool,,
Option,0,A faster database server,,
Option,0,A larger spreadsheet with more rows,,
Feedback,"A shared data dictionary locks in one definition. Without it, the same term can be used for different metrics across the organization, making data integration impossible.",,,
,,,,
NewQuestion,MC,,,
Title,A grading sheet has `Score` stored...,,,
QuestionText,"A grading sheet has `Score` stored as text (`""92""`, `""88""`, `""75""`). An analyst tries to calculate the average using a spreadsheet function. What happens, and why?",,,
Points,1,,,
Option,0,"The average function converts text to zero, making the average too low",,
Option,0,The spreadsheet automatically converts text to numbers before calculating,,
Option,100,"The average function ignores text values, returning a wrong result or an error",,
Option,0,The average calculates correctly because text and numbers are interchangeable,,
Feedback,"If `Score` is stored as text, averages become fragile. Spreadsheet average functions typically ignore text cells or return errors rather than silently converting them, producing wrong results.",,,
,,,,
NewQuestion,MC,,,
Title,A university wants to track student...,,,
QuestionText,"A university wants to track student grades across multiple courses, instructors, and semesters. They currently use a single shared spreadsheet. Which is the strongest argument for moving to a database?",,,
Points,1,,,
Option,100,"The spreadsheet has repeated student names, mixed themes, and no way to enforce that a StudentID in a grade row matches a real student — databases solve all three problems",,
Option,0,Spreadsheets cannot be shared with multiple users,,
Option,0,Databases are newer technology than spreadsheets,,
Option,0,Databases can store more colors than spreadsheets,,
Feedback,"Databases directly address redundancy, mixed themes, and lack of referential integrity between records — the specific problems presented by tracking multiple interconnected domains in a flat spreadsheet.",,,
,,,,
NewQuestion,MC,,,
Title,A hospital stores patient visit notes...,,,
QuestionText,"A hospital stores patient visit notes as unstructured text files. The analytics team wants to use this data to predict readmission risk. According to Chapter 3, what must happen first before structured analysis is possible?",,,
Points,1,,,
Option,0,The text files must be converted to images for faster processing,,
Option,100,"The unstructured text must be classified, cleaned, and routed into structured fields that capture the relevant information",,
Option,0,The files must be deleted and re-entered by hand,,
Option,0,The hospital must purchase a new database server,,
Feedback,"Unstructured data like ""emails, images, audio, PDFs, and videos"" must be ""classified, cleaned, and routed into structured tables for analysis."" Relevant fields must be extracted from the unstructured notes first.",,,
,,,,
NewQuestion,MC,,,
Title,A manager is choosing between keeping...,,,
QuestionText,"A manager is choosing between keeping data in a shared Google Sheet and investing in a database. The data includes customer profiles, orders, products, and shipping records that multiple departments update daily. Which factor most strongly favors the database?",,,
Points,1,,,
Option,0,The Google Sheet has reached its row limit,,
Option,100,"The data spans multiple related themes (customers, orders, products) that must stay connected while being updated independently — exactly what databases are designed to manage",,
Option,0,The database software has a more attractive interface,,
Option,0,Google Sheets cannot display charts,,
Feedback,The scenario presents multiple related themes updated independently by different departments — exactly the pattern that pushes organizations from spreadsheets toward databases. Databases separate themes into related tables while maintaining connections.,,,
,,,,
NewQuestion,MC,,,
Title,Two proposed data designs are being...,,,
QuestionText,"Two proposed data designs are being considered for a small business. Design A stores everything in one flat spreadsheet. Design B separates customers, orders, and products into related tables with shared identifiers. The business expects to grow from 100 to 10,000 customers over two years. Which design does Chapter 3's reasoning support, and why?",,,
Points,1,,,
Option,0,"Design A, because flat files are faster than databases at any scale",,
Option,0,"Design A, because spreadsheets are always sufficient for business data",,
Option,0,"Design B, because databases are required by law for businesses with more than 1,000 customers",,
Option,100,"Design B, because separating themes into related tables prevents redundancy, update anomalies, and the structural fragility that flat files exhibit as data grows",,
Feedback,"Separating themes into related tables reduces repetition and makes updates more reliable. Flat files exhibit redundancy, update anomalies, and structural fragility as data grows. The growth trajectory makes Design B clearly superior.",,,
,,,,
